# k	fid_ideal	cost_ideal	hw_cost_est
0 5.944723053008034441e-03 3.111060687173197614e+00 3.371585891343140240e+00
1 9.184147043327088589e-03 2.886210100706941173e+00 3.117215936520810082e+00
2 3.127573584275716856e-02 2.245151831284952770e+00 3.141818851477299113e+00
3 5.422235983430230555e-02 2.292065051301278800e+00 2.177937813071911144e+00
4 4.209214407197749142e-02 2.428849028764127116e+00 2.102156018445919372e+00
5 1.236169686624090380e-01 1.585959062745760040e+00 2.344207635756176522e+00
6 1.250403692973425795e-01 1.431452717666843455e+00 1.676428386832464978e+00
7 1.588286979621242045e-01 1.098432456473261265e+00 1.671269899095751299e+00
8 1.119722288113270681e-01 1.299622066628271844e+00 1.075350693996236062e+00
9 1.150665051468013900e-01 1.255783170024317830e+00 1.688148620366657360e+00
10 1.000104905217237272e-01 1.313473123752594063e+00 1.520642117835536045e+00
11 1.203194472613079158e-01 1.245235754455864985e+00 1.604108986201856268e+00
12 1.637877232479608147e-01 1.127552445098468414e+00 2.082247341733284962e+00
13 1.271450338351272080e-01 1.357399339673154293e+00 1.838893049466350904e+00
14 1.671366069983548086e-01 9.692254418190231480e-01 1.273733188726239307e+00
15 1.025874624299600718e-01 1.081272868344120397e+00 1.199722508469155624e+00
16 1.207969483773507352e-01 9.265802847204510639e-01 8.349251742476400118e-01
17 1.081080706241687728e-01 1.063038138288418200e+00 1.500785486137543590e+00
18 1.704704900600435280e-01 6.922417208780394793e-01 1.344991324536874311e+00
19 1.737532360642868312e-01 6.532046104614086524e-01 1.060578510716260192e+00
20 2.278474984382294899e-01 5.439763044957433014e-01 5.192391656299880642e-01
21 2.108861996633107361e-01 6.099316949139192978e-01 1.548173783124396630e-01
22 2.686351376913279632e-01 4.890427010091997762e-01 7.924887917459468856e-01
23 2.542591025392902382e-01 4.916176232028608983e-01 7.095882662330331714e-01
24 2.532632648399916753e-01 4.940477322062868937e-01 4.313715410617764978e-01
25 2.567492003110635190e-01 4.865447543956542553e-01 1.038102040588104735e+00
26 2.688166507163051722e-01 4.705036724664288239e-01 9.295299717289496888e-01
27 2.232414049464895578e-01 7.197561507861292007e-01 9.470205403063196581e-01
28 2.696986686995132554e-01 6.216722923624122821e-01 6.659733966767736879e-01
29 2.585144962561851112e-01 6.138536150949802650e-01 1.152143637208625115e+00
30 2.418402427532303500e-01 6.596080074419155004e-01 6.832439605010208750e-01
31 2.475104053654500480e-01 6.453726611569409188e-01 4.854488576244222475e-01
32 2.785428019902358443e-01 6.421403793036315477e-01 9.124669583470195189e-01
33 2.814739135125947644e-01 6.495231177785518728e-01 8.632695997611793404e-01
34 2.901327949282010987e-01 6.367924307203574052e-01 1.062036002655982081e+00
35 2.962455597063203272e-01 6.764847441923850235e-01 5.725478637714603858e-01
36 3.130355683308738146e-01 6.405330959414177183e-01 6.426748909666756271e-01
37 3.056659177645399961e-01 8.258837458759167305e-01 1.244070629612838097e+00
38 3.257304749908257469e-01 5.153180167056244931e-01 3.254419290981430124e-01
39 3.271809627042315261e-01 4.880749652973949138e-01 9.097298292347631987e-01
40 3.144909968371599751e-01 5.001322845434056363e-01 8.032576085268150479e-01
41 3.148822664485052547e-01 5.008936960993384258e-01 1.291636768042801364e+00
42 2.854873119995431918e-01 4.510031145378896600e-01 1.061356493665296608e+00
43 2.920590438023116797e-01 4.287107738338313823e-01 6.324981832860886444e-01
44 3.176558582747351367e-01 4.148247451408314523e-01 1.048687328347262193e+00
45 3.697699655352645887e-01 3.244434492913802481e-01 4.992350869790211365e-01
46 3.744301806209897054e-01 3.283825592353813994e-01 6.752621526871034341e-01
47 3.707775138968041340e-01 2.606996122151198358e-01 5.558836093535519662e-01
48 3.617273195325493851e-01 3.348527998113878246e-01 1.745731909366255163e-01
49 3.569339967111720413e-01 3.682609643160386637e-01 3.835778136749049549e-01
50 3.570562719370719562e-01 3.667941863473438979e-01 -4.357387002768910861e-03
51 3.527519786244050493e-01 3.712339478598740694e-01 2.763751538161598464e-01
52 3.525325836591728379e-01 3.256530540057495648e-01 7.790843060882506332e-01
53 3.696568299813961511e-01 3.236325746062710396e-01 9.408563129707488981e-01
54 3.725860507564966451e-01 3.327350020049621993e-01 6.161452400863863810e-01
55 3.752275888185810926e-01 3.303230861747973313e-01 2.490332303541135661e-01
56 3.728605025446751764e-01 4.380175185833739548e-01 6.833531585430392408e-01
57 3.915434353635781073e-01 4.012228313518512168e-01 8.014310019098813687e-01
58 4.025012956029648814e-01 3.715693355547609045e-01 6.442343479557531838e-01
59 4.015676971897129688e-01 3.820546414592775886e-01 7.394939413463099687e-01
60 4.241978836818652288e-01 3.417077993846653339e-01 7.461666726036055852e-01
61 4.291712445207892523e-01 3.684596066494424393e-01 4.241202733556721505e-01
62 4.184659553807154597e-01 3.621779776855669208e-01 6.380182033476531345e-01
63 4.277675536965068748e-01 3.607926762274462629e-01 4.640024891347042102e-01
64 4.384680239612872565e-01 3.203852206418211779e-01 7.648642824130613693e-01
65 4.261161608739913453e-01 2.914930815640758843e-01 2.918649081319432126e-01
66 4.556881855065969544e-01 2.756930082262036841e-01 5.640216709077359170e-01
67 4.531385136451140938e-01 2.785478535188252724e-01 5.748508816879882577e-01
68 4.523082978639790808e-01 3.114702941157214688e-01 1.739271745220749843e-01
69 4.548997761836455211e-01 3.071968874566756158e-01 6.404611322942643792e-01
70 4.507530605993927963e-01 3.106578493407217700e-01 1.041105323477022004e+00
71 4.580586107745233670e-01 3.090896915511000542e-01 6.989319067943106090e-01
72 4.589404874774750676e-01 3.080349404523092804e-01 3.025841103864423953e-01
73 4.521319992581018798e-01 2.830018831031004822e-01 9.051358274999834475e-01
74 4.558632720984112097e-01 3.755915865260255893e-01 9.800579416398446098e-01
75 4.808587020486757568e-01 4.425326002167375705e-01 8.844959704900147157e-01
76 4.851939259618076039e-01 4.331575236852339694e-01 9.872247879724669328e-01
77 4.856147972876527774e-01 4.284738329729391726e-01 1.162121278276778913e+00
78 4.576559432198157862e-01 4.371198466373878988e-01 7.845147027046212029e-01
79 4.742577392077141907e-01 3.810012268558184978e-01 2.354711681355348418e-01
80 4.762611669556335303e-01 3.953003298102753527e-01 4.803390384830930060e-01
81 5.044035170582018557e-01 3.961097957411697790e-01 8.257790436524439226e-01
82 5.107279640161377365e-01 3.557648502098652021e-01 8.676297044537384373e-01
83 5.167609344948165262e-01 3.442174053053422833e-01 2.690367351599098900e-01
84 5.220888849991441871e-01 3.720379016419695373e-01 1.006428314477900932e+00
85 5.203909497048110344e-01 3.722083878481216024e-01 2.577740969902554968e-01
86 5.204840793098559626e-01 3.721104618980703993e-01 5.876346751774703669e-01
87 5.196895140267554503e-01 3.684569318525523496e-01 4.996774847259485286e-01
88 5.108903682685467240e-01 3.450092969090077233e-01 3.633499159019962788e-01
89 5.094362768703379896e-01 3.582342560108170426e-01 4.094746458745759932e-01
90 5.066116263629769634e-01 3.714641374041048882e-01 -6.456387269824132025e-02
91 5.046418882808922923e-01 3.587607737145155351e-01 9.202020117839067037e-01
92 5.119013878523168692e-01 2.850211675092608199e-01 7.609428178601596038e-01
93 4.956577316302884784e-01 3.843132066739770036e-01 7.269792407379171983e-01
94 5.033897250208586582e-01 3.673483445142559090e-01 7.651100927907303895e-01
95 4.529718362112866159e-01 4.950667034171705172e-01 7.634054079192096331e-01
96 4.557575791388033815e-01 3.965479657180692730e-01 5.625778502942327952e-01
97 4.588833779453327932e-01 3.899843779014006140e-01 5.270093176230308263e-01
98 4.585546865898646463e-01 3.905307577555743315e-01 1.024019888192845951e+00
99 4.643585296480899904e-01 3.499909038813286410e-01 9.218962026157080381e-01
100 4.340876892939136145e-01 3.361294707837249041e-01 6.786053757296375277e-01
101 4.622111955088040736e-01 2.846327632114901141e-01 5.265025434536447779e-01
102 4.647160595584335363e-01 2.743608186857199316e-01 3.020935526582348984e-01
103 5.078271148601258833e-01 2.783901870217060370e-01 5.940969499636510331e-01
104 5.031104603237537276e-01 2.332006402992140570e-01 7.515746524016653218e-01
105 5.058184793768758514e-01 2.424020912601101696e-01 1.552174686566058226e-01
106 4.762722649193094626e-01 3.187445066466757515e-01 2.655340353840121015e-01
